:START_ID(iata_code),:END_ID(iata_code),:TYPE,flight_number:int,airline:string,date:string,departure_time:string,distance:int
OAK,LAS,IS_FLYING_TO,188,NK,1/1/2015,05:51,407
DFW,OAK,IS_FLYING_TO,925,NK,1/1/2015,06:00,1457
ACY,RSW,IS_FLYING_TO,943,NK,1/1/2015,07:42,982
DTW,LGA,IS_FLYING_TO,316,NK,1/1/2015,05:58,502
DFW,FLL,IS_FLYING_TO,972,NK,1/1/2015,06:03,1119
SMF,LAX,IS_FLYING_TO,2622,OO,1/1/2015,05:51,373
RAP,DEN,IS_FLYING_TO,6360,OO,1/1/2015,06:00,300
TUS,SFO,IS_FLYING_TO,6369,OO,1/1/2015,06:04,751
EAU,ORD,IS_FLYING_TO,5330,OO,1/1/2015,05:52,268
DLH,ORD,IS_FLYING_TO,5292,OO,1/1/2015,05:56,397
FSD,ORD,IS_FLYING_TO,6276,OO,1/1/2015,05:57,462
AUS,SFO,IS_FLYING_TO,6235,OO,1/1/2015,05:56,1504
FAT,SEA,IS_FLYING_TO,3489,OO,1/1/2015,05:57,748
ONT,PDX,IS_FLYING_TO,3461,OO,1/1/2015,05:50,838
INL,BRD,IS_FLYING_TO,7423,OO,1/1/2015,05:50,153
CMX,ORD,IS_FLYING_TO,5318,OO,1/1/2015,,359
SMF,SFO,IS_FLYING_TO,5445,OO,1/1/2015,,86
BOI,LAX,IS_FLYING_TO,5242,OO,1/1/2015,06:39,674
SPI,ORD,IS_FLYING_TO,5462,OO,1/1/2015,06:04,174
CLD,LAX,IS_FLYING_TO,5466,OO,1/1/2015,06:54,86
COD,DEN,IS_FLYING_TO,5550,OO,1/1/2015,05:59,391
FAT,SFO,IS_FLYING_TO,5574,OO,1/1/2015,06:00,158
CMH,MIA,IS_FLYING_TO,3221,MQ,1/1/2015,05:55,990
LRD,DFW,IS_FLYING_TO,3224,MQ,1/1/2015,,396
PSC,DEN,IS_FLYING_TO,5522,OO,1/1/2015,06:01,852
CPR,DEN,IS_FLYING_TO,5592,OO,1/1/2015,06:04,230
ACV,SFO,IS_FLYING_TO,5604,OO,1/1/2015,05:50,250
DAL,IAH,IS_FLYING_TO,5170,OO,1/1/2015,06:22,216
PAH,ORD,IS_FLYING_TO,5429,OO,1/1/2015,05:51,342
PSC,SFO,IS_FLYING_TO,5435,OO,1/1/2015,05:56,620
CID,ORD,IS_FLYING_TO,6378,OO,1/1/2015,06:10,196
EUG,SFO,IS_FLYING_TO,6401,OO,1/1/2015,05:57,451
DFW,DEN,IS_FLYING_TO,6332,OO,1/1/2015,05:56,641
MRY,SFO,IS_FLYING_TO,6346,OO,1/1/2015,05:55,77
SLC,LAX,IS_FLYING_TO,6465,OO,1/1/2015,06:04,590
ESC,DTW,IS_FLYING_TO,7392,OO,1/1/2015,05:58,306
MFR,SFO,IS_FLYING_TO,6403,OO,1/1/2015,05:57,329
FAT,DEN,IS_FLYING_TO,6497,OO,1/1/2015,05:59,844
SFO,EWR,IS_FLYING_TO,576,UA,1/1/2015,05:52,2565
