iata_code:string,name:string,city:string,state:string,:LABEL
LNK,Lincoln Airport (Lincoln Municipal),Lincoln,NE,Airport
LRD,Laredo International Airport,Laredo,TX,Airport
LSE,La Crosse Regional Airport,La Crosse,WI,Airport
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,Airport
MAF,Midland International Airport,Midland,TX,Airport
MBS,MBS International Airport,Saginaw,MI,Airport
MCI,Kansas City International Airport,Kansas City,MO,Airport
MCO,Orlando International Airport,Orlando,FL,Airport
MDT,Harrisburg International Airport,Harrisburg,PA,Airport
MDW,Chicago Midway International Airport,Chicago,IL,Airport
MEI,Meridian Regional Airport,Meridian,MS,Airport
MEM,Memphis International Airport,Memphis,TN,Airport
MFE,McAllen-Miller International Airport (McAllen Miller International),McAllen,TX,Airport
MFR,Rogue Valley International Airport,Medford,OR,Airport
MGM,Montgomery Regional Airport,Montgomery,AL,Airport
MHK,Manhattan Regional Airport,Manhattan,KS,Airport
MHT,Manchester-Boston Regional Airport,Manchester,NH,Airport
MIA,Miami International Airport,Miami,FL,Airport
MKE,General Mitchell International Airport,Milwaukee,WI,Airport
MKG,Muskegon County Airport,Muskegon,MI,Airport
MLB,Melbourne International Airport,Melbourne,FL,Airport
MLI,Quad City International Airport,Moline,IL,Airport
MLU,Monroe Regional Airport,Monroe,LA,Airport
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,Airport
MOB,Mobile Regional Airport,Mobile,AL,Airport
MOT,Minot International Airport,Minot,ND,Airport
MQT,Sawyer International Airport,Marquette,MI,Airport
MRY,Monterey Regional Airport (Monterey Peninsula Airport),Monterey,CA,Airport
MSN,Dane County Regional Airport,Madison,WI,Airport
MSO,Missoula International Airport,Missoula,MT,Airport
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,Airport
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,Airport
MTJ,Montrose Regional Airport,Montrose,CO,Airport
MVY,Martha's Vineyard Airport,Marthas Vineyard,MA,Airport
MYR,Myrtle Beach International Airport,Myrtle Beach,SC,Airport
OAJ,Albert J. Ellis Airport,Jacksonville,NC,Airport
OAK,Oakland International Airport,Oakland,CA,Airport
OGG,Kahului Airport,Kahului,HI,Airport
